title,text,fake
 ,"A Labour source told the Sunday Times Mr Campbell would ""effectively front"" the election media campaign but said he would be given no formal title.Ex-Downing Street media chief Alastair Campbell will return to the fold to strengthen Labour's general election campaign, the party has confirmed.Mr Campbell was at the centre of the government's row with BBC over Andrew Gilligan's story about the Iraq weapons dossier.""Of course Alastair's going to be part of the election campaign and I think that all of us who will also be part of the election campaign are very pleased about that,"" Ms Jowell told Sky News.""He is a strong Labour Party member,"" Mr Prescott told BBC One's Breakfast With Frost programme.Labour strategists told the paper he would be ""set loose"" on Conservative leader Michael Howard in attacking his party's economic record when it was in power.Since leaving Downing Street, he has toured the country with his one man show, An Audience With Alastair Campbell and presented a number of interview programmes for Channel 4.Mr Campbell has consistently made public his keenness to play a part in the poll, expected in May.",0
 ,"The five unions which met Mr Prescott want the government to withdraw these regulations.They want the government to withdraw regulations - due to be introduced in weeks - which would raise the pension age for council workers from 60 to 65.Five public sector unions met Deputy Prime Minister John Prescott at the Labour spring conference in Gateshead.Mr Prescott held a private meeting with senior union figures last week.Other public sector unions have pledged to follow.But a spokesman for Mr Prescott warned that the changes to the local government pension scheme would have to go ahead in April.PCS leader Mark Serwotka warned last week that there could be further walkouts unless there was a government rethink.The Public and Commercial Services Union (PCS) will co-ordinate any industrial action with up to six other public sector unions.A spokesman for Unison, Britain's biggest union, said after Saturday's meeting: ""At least we are still talking.""",0
 ,"The Archbishop of Canterbury said: ""I am pleased that Prince Charles and Mrs Camilla Parker Bowles have decided to take this important step.""But only 40% think Mrs Parker Bowles should become Princess Consort as planned after Charles becomes king.On Thursday night, Prince Charles, 56, and Mrs Parker Bowles, 57, hosted a dinner at Windsor Castle, their first public appearance since announcing their engagement.Mrs Parker Bowles has joined the prince at numerous engagements in recent years - mostly at evening events for The Prince's Trust.Mrs Parker Bowles said the prince went down on one knee to propose and added: ""I'm just coming down to earth.""Prince Charles and Camilla Parker Bowles are awaiting the nation's reaction after announcing they are to be married on 8 April.Mrs Parker Bowles will take the title HRH Duchess of Cornwall after a civil ceremony to be held at Windsor Castle.Charles said he and his wife-to-be were ""absolutely delighted"".The marriage is likely to be a sensitive issue because Mrs Parker Bowles is divorced and her former husband is still alive.",0
 ,"Tony Blair has had the chance to tackle the problems facing Britain and has failed, Michael Howard has said.The election will give Britain the chance to change.""Mr Blair has failed to tackle these problems, he claimed, saying he has the ""wrong solution"" to them.""Let us never forget that when Michael Howard was in government Britain suffered mass unemployment, 15% interest rates, record home repossessions, and the introduction of the poll tax.""Britain is heading in the wrong direction"", the Conservative leader said in his New Year message.""With Labour Britain is working.The catastrophe was overshadowing the hopes for the future at this usually positive time of the year, Mr Howard said.This is the record Mr Blair will have to defend in the coming months, he said, urging voters to hold him to account.""Worst of all, it is a government that has wasted people's money and failed to tackle the problems families face today.""The last week has shown that the warm, caring heart of Britain beats as strong as ever.""But Labour spokesman Mr Kemp said: ""It would be more appropriate for this message to come out on 1 April, not 1 January.""",0
 ,"EU member states are failing to report fraud and irregularities in EU funds on a consistent basis, the UK's public spending watchdog has said.The report said: ""Member states still do not report fraud and other irregularities to the European Anti-Fraud Office on a consistent basis.It said there were 922 cases of reported fraud or irregularities in EU funds in the UK in 2003, worth £38.5m (52m euros), up from 831 cases worth £35.7m in 2002.""Any fraud in other member states is potentially fraud against the UK taxpayer, given that we are the second largest net contributor to the Community,"" he said.The National Audit Office said although the latest figures showed reported fraud was falling, the EU still had no common definition of fraud.He added that there is generally good co-operation with member states and the anti-fraud office on specific cases of fraud, with the statistics studied by NAO providing a ""good overview for planning strategic ways of detecting fraud"".""The government must take the opportunity afforded by the UK presidency of the EU to press the Commission and other member states to take an equally robust stance against fraud and irregularity, and raise overall standards of financial management.""",0
 ,"Michael Howard said he would not back the Home Secretary's plans for ""control orders"" which include home detention.Home Secretary Charles Clarke said there was not enough evidence to keep the Egyptian man, known only as C, certified as a terrorist suspect.The Conservatives have expressed ""serious misgivings"" about government plans for keeping UK and foreign terror suspects under house arrest.Mr Clarke has rejected that idea saying intercept evidence is only a small part of the case against terror suspects and could put the lives of intelligence sources at risk.Controversy over the issue continues after a foreign terror suspect held in the UK without trial or charge since December 2001 was freed from jail.Mr Howard said he feared ""internment without trial creates martyrs"" and could be ""a very effective recruiting sergeant"" for terrorists"".The government proposed the idea and a range of other new powers after the laws lords said current detentions without trial broke human rights laws.On Monday, the legal team for two Algerian suspects being held without trial told a court the men did not want bail if it meant being put under house arrest.But Mr Howard said: ""We have serious misgivings about both their effectiveness in protecting life and their consequences for the British way of life.""The Lib Dems believe the Home Secretary should allow phone tapping evidence in prosecutions.",0
 ,"Mr Blair said having Turkey in the EU was of ""importance to the future peace and prosperity of my country, Britain, and the wider world"".Leaving a Brussels summit Mr Blair said ""the fact Turkey is a Muslim country does not mean it should be barred"".""We are stating a fundamental principle that the fact Turkey is a Muslim country does not mean it should be barred from Europe.Tony Blair has hailed a deal bringing Turkey a step closer to EU membership as important for the world's future ""peace and prosperity"".The deal to open formal talks with Ankara came despite an EU demand for Turkey to recognise Cyprus.The internationally recognised southern part of Cyprus is an EU member, but Turkey, which occupies northern Cyprus, had previously insisted it would not bow to demands to recognise the country, calling the issue a ""red line"".",0
 ,"Mr Straw said the US government was suspicious of ""the motives of some other countries within the EU"" in wanting the ban lifted.The EU embargo on arms exports to China is likely to be lifted in the next six months despite US objections, UK Foreign Secretary Jack Straw has said.But he said it was wrong to put China under the same embargo as countries such as Zimbabwe and Burma.He said ""it is more likely than not"" that the ban would be lifted before Britain takes over the presidency of the EU from Luxembourg in July.But he said an EU code of conduct would prevent an increase in the number of arms being exported to the country.In December, the EU pledged to work towards lifting the ban but said it was not ready to do so yet.""If it is lifted we will end up with as effective arms controls in relation to China as we have now.""US officials say they are not satisfied the mechanisms in the EU code of conduct are robust enough to prevent abuses.",0
 ,"They would argue that, by the time of the election after next, the Liberal Democrats may genuinely have replaced the Tories as the party challenging Labour for power.He was also happy to offer a pledge that he would be doing no deals to ""prop up"" either of the other big parties after the election.On the war on Iraq, identity cards, student fees and the council tax, there was nothing to chose between the two big parties whereas the Liberal Democrats offered costed, sensible alternatives.But the Liberal Democrats are entering the expected 2005 election campaign determined to prove it is they, not the Tories, who are now the real threat to Labour.And he can produce some pretty impressive recent election results to back up his optimism for an election which he believes might just see his party doing big things.There was a time when such optimistic sounds coming from the third party could be dismissed as self-delusion.But Mr Kennedy believes his new manifesto will also offer sensible, costed and achievable policies on things like the council tax, crime and asylum that will underpin his claim that his party really is the only opposition worth the name.The gap between Labour and the Tories was now so narrow - as proved, he claimed, by the defection to Labour of Robert Jackson - that only his party offered a genuine alternative.He will not talk about the big breakthrough, although there are those who believe this could well be the election that sees his party crossing some sort of symbolic threshold.",0
 ,"The Fabian Society's Sundar Katwala said the change was ""long overdue"" and that he expected a ""warm response"".He said he hoped the bill would be a ""gentle nudge"" to the government and suggested it would ""demand a response"".The private member's bill would also abolish the ban on heirs to the throne marrying Roman Catholics.The rule of succession is regulated not only through descent and tradition but also by the Act of Settlement which confirmed in 1701 that it was for Parliament to determine the title to the throne.But he acknowledged that even if the bill did win support, it was unlikely to become law because the legislative programme is likely to be squeezed by the coming general election.He pointed out that it was 30 years since the sex discrimination act and urged politicians on all sides to back the bill.",0
 ,"If they haven't [ID cards] they are going to be detained.""Sources within the Conservative Party told the BBC Michael Howard has always been in favour of ID cards, and tried to introduce them when he was Home Secretary.Lib Dem home affairs spokesman Mark Oaten said: ""This has all the signs of Michael Howard overruling colleagues' concerns over ID cards.The Tories are to back controversial government plans to introduce ID cards.Despite giving their backing to ID cards, the Conservatives insisted they would hold ministers to account over the precise purpose of the scheme.The party has been ""agnostic"" on the issue until now but had now decided to come off the fence, the Tory source said.They said they would also press Labour over whether objectives could be met and whether the Home Office would deliver them.And they pledged to assess the cost effectiveness of ID cards and whether people's privacy would be properly protected.",0
 ,"But Mr Howard said he rejected the idea that the Tories and BNP appealed to the same voting instincts.BNP leader Nick Griffin told the Independent he expected some BNP voters to switch to the Tories over the issue.Tory leader Michael Howard has dismissed claims that his immigration policy was ""moving onto the turf"" of the British National Party (BNP).Asked whether he was comfortable with the perception that the Conservatives and the BNP appeal to the same voting instincts, Mr Howard told the BBC: ""I reject that entirely"".Asked if he would welcome BNP voters he told the BBC: ""I don't want anybody to vote for these extremist parties"".Mr Griffin told the Independent the Tories' plans were ""a definite move onto our turf"".",0
 ,"New rules on marriage for foreign nationals living in the UK are coming into force.The Home Office says the new rules are aimed at reducing the number of sham marriages, of which there are estimated to be up to 15,000 a year.""These rules means in some cases the Home Secretary is going to be a marriage registrar of last resort.Rhian Beynon of the JCWI said the new rules were ""not proportionate"" and ""discriminatory"".But from Tuesday all non-EU nationals, apart from citizens of Switzerland, Liechtenstein, Iceland or Norway, intending to wed in the UK must either obtain a visa allowing them to get married before they enter the country or apply for a Home Office 'certificate of marriage approval'.Mr Rimmer, the service director for registrations of marriages at Brent Council in north-west London, said he did not consider the new law to be an infringement of civil liberties.Registrars' spokesman, Mark Rimmer, said they welcomed the new marriage regulations and believed they would be an significant deterrent.In a report published last July the cross-party committee stated there was a ""significant risk"" the new procedures were incompatible with the right to marry because they introduced restrictions which were ""disproportionate"".The role of registrars who under the Asylum and Immigration Act 1999 were obliged to report suspected sham marriages to the Home Office, has been key in many prosecutions.We'll be looking for people whose right to marry is breached and we'll be looking at taking a case on this to the Human Rights Court,"" Ms Beynon said.From Tuesday, most non-EU citizens will need Home Office approval to marry.The new rules have also been called into question by the parliamentary Joint Committee on Human Rights.",0
 ,"They said as Mr Mousa was in custody when he died, his case came within the UK's jurisdiction.And it was difficult to say that the investigation which had already occurred ""has been timely, open or effective"", the judges said.The High Court ruled on Tuesday that Baha Mousa's death in British custody in Iraq fell within the European Convention on Human Rights.The other five Iraqis did not die in custody, so their cases had to fail, they said.Ministry of Defence lawyers argued the UK-controlled area of southern Iraq was outside European jurisdiction.The Iraqi families' lawyer argued that failing to adequately investigate the death breached the European Convention on Human Rights.He was allegedly beaten to death while in the custody of the Queen's Lancashire Regiment.But former British Commander Colonel Bob Stewart said : ""Anyone at the top [of the military] will be saddened by the verdict that has taken place but will say: 'If there's a case to answer, let's have it out.The family of an Iraqi civilian allegedly killed by UK troops have won a challenge against the government's refusal to order a full inquiry.Because we don't want people thinking that British soldiers beat up civilians and get away with it',"" he said.But judicial reviews into five other deaths in southern Iraq were ruled out.",0
 ,"Ms Hewitt also announced a new drive to help women who want to work in male dominated sectors, saying sexism at work was still preventing women reaching their full potential.""But it is also about saying childcare jobs are really there for women and not suitable for men.Earlier, she told BBC Radio 4's Today programme: ""What we are talking about here is the fact that about six out of 20 women work in jobs that are low-paid and typically dominated by women, so we have got very segregated employment.Women in full-time work earn 19% less than men, according to the Equal Opportunities Commission (EOC).The minister told delegates that getting rid of ""career sexism"" was vital to closing the gender pay gap.""Career sexism limits opportunities for women of all ages and prevents them from achieving their full potential.""Career sexism is about saying that engineering, for instance, where only 10% of employees are women, is really a male-dominated industry.Plans include funding for universities to help female science and engineering graduates find jobs and ""taster courses"" for men and women in non-traditional jobs.Plans to extend paid maternity leave beyond six months should be prominent in Labour's election manifesto, the Trade and Industry Secretary has said.""The average woman working full-time is being paid about 80p for every pound a man is earning.For women working part-time it is 60p.""",0
 ,"Mr Brown has been locked in talks with finance ministers of the G8, which Britain now chairs.Chancellor Gordon Brown has said he hopes to announce a deal to suspend debt interest repayments by tsunami-hit nations later on Friday.The agreement by the G8 group of wealthy nations would save affected countries £3bn pounds a year, he said.Mr Brown first proposed the idea earlier this week.",0
 ,"The police spokesman said the newspaper handed the report over on Monday.""We cannot discuss who was responsible for the documents, only that they contained the policing arrangements for the official visit,"" said the spokesman.A spokesman said President Musharraf's safety had not been compromised, as the papers had been handed in promptly.The files are believed to contain detailed security arrangements for Gen Pervez Musharraf's visit this week, including police codes.An inquiry is under way after files containing security details about the Pakistani president's visit to London were found by a member of the public.",0
 ,"But now, as MP for Merionnydd Nant Conwy and Plaid Cymru's Parliamentary Leader, Mr Llwyd has argued that some of the terror attacks may have had the involvement of the security services and not Meibion Glyndwr.Plaid Cymru's Elfyn Llwyd has suggested the security services could have been involved, with the intention of discrediting the nationalist vote.Ex-Welsh Office Minister Lord Roberts of Conwy denied security services were involved.A Plaid Cymru MP believes UK security services were involved in some arson attacks blamed on Welsh extremists.He believes that elements of the British security services may have carried out renegade actions in order to discredit Plaid Cymru and the nationalist vote ahead of elections.He denied that the security services played any improper role.The programme also heard from Lord Roberts of Conwy, who was a Welsh Office minister at the time.He accepted that the fires damaged Plaid Cymru's public image but believed that the security services had their hands full at the time with the IRA and animal rights activists.Police were accused in some quarters of targeting anyone who was a nationalist.",0
 ,"He said advocates for reform needed to be inside the Lords to vote for it.Neil Kinnock has said his acceptance of a seat in the House of Lords will allow him to help ""achieve further progress with substantial democratic reform.""Mr Kinnock added that the second factor behind his acceptance of the peerage was his appointment as chairman of the British Council.Mr Kinnock said he thought about the decision for ""quite a long time"" because he had long had reservations about the Lords.",0
 ,"Mr Kennedy criticised Mr Brown for failing to mention the ""ticking bomb"" of council tax revaluation, saying it was ""high time"" the system was replaced by a ""local tax based on the ability to pay"".Despite his giveaways, Budget documents show Mr Brown clawed back £265m through a clampdown on tax avoidance and increased revenue from a windfall tax on oil companies.The chancellor also unveiled a one-off £200 council tax refund for pensioners and a rise in child tax credit.Mr Brown told MPs child benefit would rise to a maximum of £63 a week for the first child and £111 for two children.SNP leader Alex Salmond said Mr Brown had failed the ""tartan test"" as there were no measures to boost the Scottish economy.Mr Brown said he had met his financial ""golden rule"" with a £6bn surplus and he said public borrowing would continue to fall over the next five years.But trust in Mr Brown's economic stewardship would be a central election issue, he said.He said his Budget struck a balance ""between tax cuts that are affordable, investments that are essential and stability that is paramount"".Gordon Brown has doubled the level at which house buyers pay stamp duty to £120,000 as he put the economy at the heart of Labour's election campaign.""Their only answer is to tax, to spend and to waste - to get people to vote now and pay later.""The level where people start paying inheritance tax will also rise from £263,000 to £275,000 from April.The Green Party said the Budget was a ""wasted opportunity"" for environmental protection, adding: ""Brown obviously has an eye on the coming election, and has taken his eye off the needs of the planet.""The child tax credit will rise in line with earnings, giving families an extra £5 a week.During his 49 minute speech Mr Brown told MPs he had defied the pundits by hitting his growth target of 3.1% for 2004.",0
 ,"Science Minister Lord Sainsbury has made a £2m donation to the Labour Party for its General Election fund.Lord Sainsbury added: ""I am pleased to be able to make this contribution to the general election funds of the Labour Party because I believe that they are the only party that has the vision to deliver both economic prosperity and better public services for Britain.""David Sainsbury said he was pleased to give cash to a party that had the ""vision"" to deliver economic prosperity and better public services for Britain.The 64-year-old latest donation follows a £2.5m gift to the party in 2003.",0
 ,"Mr Boateng, 53, is to become the UK's high commissioner to South Africa.""Mr Blair's appointment of Paul Boateng is the latest example of a worrying trend of failed Tony's cronies being appointed to senior diplomatic posts,"" he said.Mr Boateng said: ""I am honoured to be asked to take on this role, especially as it comes at such an integral time for our relationship with South Africa and the African continent.Shadow foreign secretary Michael Ancram said that, if in government, he would refuse to approve either Mr Boateng's appointment or that of ex-Cabinet minister Helen Liddell as high commissioner to Australia.Prime Minister Tony Blair said: ""Paul has been both a valued colleague and a trusted friend for many years.""I congratulate Paul on his new appointment.Paul Boateng, Chief Secretary to the Treasury, is to step down as a Labour MP at the forthcoming general election.Mr Boateng also laughed off suggestions that his re-election in Brent South seat had been in danger saying it was ""one of the safest Labour seats in the country"".",0
 ,"- Increase in the stamp duty threshold from £60,000 - A freeze on petrol duty - An extension of tax credit scheme for poorer families - Possible help for pensioners The stamp duty threshold rise is intended to help first time buyers - a likely theme of all three of the main parties' general election manifestos.The chancellor is expected to freeze petrol duty and raise the stamp duty threshold from £60,000.The Tories are also thought likely to propose increased thresholds, with shadow chancellor Oliver Letwin branding stamp duty a ""classic Labour stealth tax"".Tax credits As a result, the number of properties incurring stamp duty has rocketed as has the government's tax take.Since then, average UK property prices have more than doubled while the starting threshold for stamp duty has not increased.For the Lib Dems David Laws said: ""The chancellor will no doubt tell us today how wonderfully the economy is doing,"" he said.The Liberal Democrats unveiled their own proposals to raise the stamp duty threshold to £150,000 in February.""If Labour is elected there will be a very substantial tax increase in the Budget after the election, of the order of around £10bn.""",0
 ,"Responding to the speech, shadow chief secretary to the Treasury, George Osborne, said: ""This was more talk from Gordon Brown.""There will be a simple choice at the election - value for money and lower taxes with the Conservatives, or more waste and higher taxes under Tony Blair and Gordon Brown.""The chancellor said the poll - expected to fall on 5 May - would give a ""clear and fundamental"" choice between Labour investment and Tory cuts.Laying into the Conservative's record in government he said: ""I give you this promise - with Labour, Britain will never return to the mistakes of ERM and 10% inflation, 15% interest rates, £3bn in lost reserves, 250,000 repossessed, one million in negative equity and three million unemployed.Liberal Democrat shadow chancellor Vince Cable warned the picture was not as rosy as Mr Brown would like to portray it.""For all his trumpeting of Labour's management of the economy, Gordon Brown's record is very mixed,"" he said.Gordon Brown has issued a rallying cry to supporters, warning the ""stakes are too high"" to stay at home or protest vote in the next general election.To a packed audience at Gateshead's Sage Centre, Mr Brown accused shadow chancellor Oliver Letwin of plotting cuts that were the equivalent of sacking every teacher, GP and nurse in the country.Mr Blair told the audience he believed the Iraq war would have made Britain a safer place if its emerging democracy succeeded and that he wanted to bring troops home as soon as possible, but not before the job was done.He also said he wanted to carry on as PM ""because I still think that there are big changes our country needs"".""For all his positive words, Gordon Brown is faced with economic problems looming on the horizon, not least the unprecedented levels of personal debt facing the nation.""",0
 ,"If Mr Blair did not want to take part, the broadcasters could go ahead with an empty chair or cancel the event and explain their reasons why, Lord Holme said.Lord Holme, who has campaigned for televised debates at previous elections, said broadcasters were ""more than willing to cooperate with the arrangements"".""What makes the present situation even less acceptable is that although Mr Howard and Mr Kennedy have said they would welcome a debate, no-one has heard directly from the prime minister,"" he said.""It would be up to each party leader to accept or refuse,"" said Lord Holme.""The broadcasters should make the decision to go ahead,"" he said.Lord Holme argued that as part of their public service obligations, broadcasters ""should make the decision to go ahead"" as soon as the election is called.It would then be up to Tony Blair, Michael Howard and Charles Kennedy to decide whether to take part, the non-partisan charity said.Tony Blair has already ruled out taking part in a televised debate during the forthcoming election campaign.",0
